site,plot,site_plot,PECI_cover,ALL_cover,shannon,simpson,richness,evenness
RR,3,RR_03,0,36.23,2.5089365597138036,0.8805187479081991,46,0.6553072747984507
LOLA,6,LOLA_06,0,45.5,2.1646560817577565,0.8506115961796092,29,0.6428470176219865
RR,6,RR_06,0.47,63.27,1.4897935228428463,0.6615667275030759,35,0.41902888186388676
LOLA,2,LOLA_02,7.1,50.2,1.8316120546547776,0.8030810069798915,22,0.5925548038542114
RR,1,RR_01,11.48,39.02,1.6767578978774849,0.7371756948275434,35,0.47161568118735864
RR,5,RR_05,15.93,40.03,1.945372991268941,0.7999853282994004,33,0.5563760286716001
LOLA,3,LOLA_03,19.73,25.62,1.712983208127054,0.7559090572666964,24,0.5390038368039568
RR,7,RR_07,20.37,42.38,1.7950564847626782,0.7645698828125,25,0.5576656517454127
LOLA,1,LOLA_01,22.22,26.58,1.4658032950717144,0.5520330741185289,24,0.46122670455560927
RR,4,RR_04,26.68,34.63,1.930382178330225,0.7802546260127489,33,0.5520886611555326
LOLA,4,LOLA_04,55.47,8.45,0.6971307225385545,0.30540460917128665,22,0.22553256160592192
LOLA,5,LOLA_05,64.25,7.71,0.42968453901980164,0.15883563445712734,21,0.1411336417481302
RR,2,RR_02,67.82,14.18,1.6486984614848328,0.6464746678754003,30,0.48474060058199814
