species,group,prevalence
Abutilon_palmeri,shrub,1
Acacia_greggii,leguminous_tree,7
Acacia_sp_unarmed,leguminous_tree,1
Allionia_incarnata,perennial_forb,3
Allium_sp,perennial_forb,4
Ambrosia_deltoidea,shrub,1
Ambrosia_psilostachya,annual_forb,8
Artemisia_ludoviciana,perennial_forb,1
Asteraceae_sp,perennial_forb,2
Ayenia_filiformis,shrub,5
Bothriochloa_barbinodis,perennial_graminoid,4
Bouteloua_curtipendula,perennial_graminoid,3
Bouteloua_repens,perennial_graminoid,3
Brickellia_sp,shrub,1
Calliandra_eriophylla,leguminous_shrub,7
Carnegiea_gigantea,Carnegiea_gigantea,4
Centaurea_melitensis,annual_forb,1
Cirsium_sp,annual_forb,2
Cottsia_gracilis,Janusia gracilis,25
Cryptantha_sp,Cryptantha_spp,1
Cryptantha_sp_Unk_2,Cryptantha_spp,16
Cylindropuntia_bigelovii,Cylindropuntia_spp,2
Cylindropuntia_versicolor,Cylindropuntia_spp,8
Dalea_albiflora,leguminous_shrub,2
Encelia_farinosa,Encelia_farinosa,39
Eragrostis_lehmanniana,Eragrostis_lehmanniana,22
Erigeron_sp,perennial_forb,1
Eriogonum_sp,perennial_forb,2
Erodium_cicutarium,annual_forb,4
Evolvulus_arizonicus,perennial_forb,9
Fern_sp,moss_fern,1
Fern_sp_2,moss_fern,2
Ferocactus_wislizeni,Ferocactus_wislizeni,1
Fouquieria_splendens,Fouquieria_splendens,13
Gutierrezia_sarothrae,shrub,1
Hesperostipa_neomexicana,perennial_graminoid,5
Ipomoea_hederacea,annual_forb,7
Ipomoea_tenuiloba,perennial_forb,2
Jacquemontia_pringlei,perennial_forb,4
Jatropha_cardiophylla,shrub,6
Justicia_longii,shrub,3
Lepidium_densiflorum,Lepidium_densiflorum,33
Lycium_sp,Lycium_spp,3
Lycium_sp_2,Lycium_spp,2
Mammillaria_grahamii,Mammillaria_grahamii,6
Marina_parryi,shrub,5
Mimosa_aculetecorpa,Mimosa_aculetecorpa,31
Moss_sp,moss_fern,1
Muhlenbergia_porteri,perennial_graminoid,9
Opuntia_engelmannii,Opuntia_engelmannii,14
Parkinsonia_microphylla,leguminous_tree,6
Pectocarya_sp,annual_forb,1
Pennellia_longifolia,perennial_forb,3
Pennisetum_ciliare,Pennisetum_ciliare,50
Phemeranthus_aurantiacus,perennial_forb,1
Plantago_purshii,Plantago_purshii,10
Poa_sp_perennial,perennial_graminoid,1
Poaceae_sp_Unk_21,perennial_graminoid,3
Porophyllum_gracile,shrub,1
Prosopsis_velutina,leguminous_tree,10
Selaginella_pilifera,moss_fern,13
Sida_abutifolia,perennial_forb,2
Trixis_californica,shrub,3
Vulpia_bromoides,annual_graminoid,1
cf_Bromus_sp,annual_graminoid,1
cf_Chenopodiaceae_sp,annual_forb,1
cf_Descurainia_sophia,annual_forb,2
cf_Phacelia_sp,perennial_forb,1
